Year,Month,Location,ReportedInstances
2021,June,Unspecified,0
2021,July,Gateshead,445
2021,July,Newcastle,657
2021,July,North Tyneside,436
2021,July,Northumberland,558
2021,July,South Tyneside,402
2021,July,Sunderland,702
2021,July,Unspecified,14
2021,August,Gateshead,384
2021,August,Newcastle,592
2021,August,North Tyneside,414
2021,August,Northumberland,523
2021,August,South Tyneside,382
2021,August,Sunderland,667
2021,August,Unspecified,6
2021,September,Gateshead,453
2021,September,Newcastle,586
2021,September,North Tyneside,361
2021,September,Northumberland,445
2021,September,South Tyneside,343
2021,September,Sunderland,538
2021,September,Unspecified,9
2021,October,Gateshead,440
2021,October,Newcastle,649
2021,October,North Tyneside,338
2021,October,Northumberland,484
2021,October,South Tyneside,308
2021,October,Sunderland,556
2021,October,Unspecified,4
2021,November,Gateshead,387
2021,November,Newcastle,635
2021,November,North Tyneside,370
2021,November,Northumberland,432
2021,November,South Tyneside,341
2021,November,Sunderland,624
2021,November,Unspecified,7
2021,December,Gateshead,433
2021,December,Newcastle,641
2021,December,North Tyneside,404
2021,December,Northumberland,497
2021,December,South Tyneside,398
2021,December,Sunderland,629
2021,December,Unspecified,9
2022,January,Gateshead,438
2022,January,Newcastle,637
2022,January,North Tyneside,363
2022,January,Northumberland,522
2022,January,South Tyneside,341
2022,January,Sunderland,613
2022,January,Unspecified,0
2022,February,Gateshead,424
2022,February,Newcastle,668
2022,February,North Tyneside,333
2022,February,Northumberland,491
2022,February,South Tyneside,338
2022,February,Sunderland,643
2022,February,Unspecified,5
2022,March,Gateshead,468
2022,March,Newcastle,668
2022,March,North Tyneside,376
2022,March,Northumberland,538
2022,March,South Tyneside,329
2022,March,Sunderland,631
2022,March,Unspecified,4
2022,April,Gateshead,432
2022,April,Newcastle,638
2022,April,North Tyneside,350
2022,April,Northumberland,618
2022,April,South Tyneside,367
2022,April,Sunderland,595
2022,April,Unspecified,5
2022,May,Gateshead,481
2022,May,Newcastle,680
2022,May,North Tyneside,369
2022,May,Northumberland,607
2022,May,South Tyneside,431
2022,May,Sunderland,662
2022,May,Unspecified,4
2022,June,Gateshead,463
2022,June,Newcastle,664
2022,June,North Tyneside,373
2022,June,Northumberland,572
2022,June,South Tyneside,398
2022,June,Sunderland,691
2022,June,Unspecified,6
2022,July,Gateshead,487
2022,July,Newcastle,713
2022,July,North Tyneside,406
2022,July,Northumberland,610
2022,July,South Tyneside,417
2022,July,Sunderland,696
2022,July,Unspecified,4
2022,August,Gateshead,485
2022,August,Newcastle,694
2022,August,North Tyneside,431
2022,August,Northumberland,597
