Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby,Final,Semi-Final,Quarter-Final
2018,16/06/2018,France,Australia,2,1,France,France,FALSE,FALSE,FALSE,FALSE
2018,15/06/2018,Portugal,Spain,3,3,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2018,15/06/2018,Morocco,Iran,0,1,Morocco,Iran,FALSE,FALSE,FALSE,FALSE
2018,15/06/2018,Egypt,Uruguay,0,1,Egypt,Uruguay,FALSE,FALSE,FALSE,FALSE
2018,14/06/2018,Russia,Saudi Arabia,5,0,Russia,Russia,FALSE,FALSE,FALSE,FALSE
2022,18/12/2022,Argentia,France,4,3,Argentia,Argentia,FALSE,TRUE,FALSE,FALSE
2022,17/12/2022,Croatia,Morocco,2,1,Croatia,Croatia,FALSE,FALSE,FALSE,FALSE
2022,14/12/2022,France,Morocco,2,0,France,France,FALSE,FALSE,TRUE,FALSE
2022,13/12/2022,Argentina,Croatia,3,0,Argentina,Argentina,FALSE,FALSE,TRUE,FALSE
2022,10/12/2022,England,France,1,2,England,France,FALSE,FALSE,FALSE,TRUE
2022,10/12/2022,Morocco,Portugal,1,0,Morocco,Morocco,FALSE,FALSE,FALSE,TRUE
2022,09/12/2022,Netherlands,Argentina,2,3,Netherlands,Argentina,FALSE,FALSE,FALSE,TRUE
2022,09/12/2022,Croatia,Brazil,2,1,Croatia,Croatia,FALSE,FALSE,FALSE,TRUE
2022,06/12/2022,Portugal,Switzerland,6,1,Portugal,Portugal,FALSE,FALSE,FALSE,FALSE
2022,06/12/2022,Morocco,Spain,1,0,Morocco,Morocco,FALSE,FALSE,FALSE,FALSE
2022,05/12/2022,Brazil,South Korea,4,1,Brazil,Brazil,FALSE,FALSE,FALSE,FALSE
2022,05/12/2022,Japan,Croatia,1,2,Japan,Croatia,FALSE,FALSE,FALSE,FALSE
2022,04/12/2022,England,Senegal,3,0,England,England,FALSE,FALSE,FALSE,FALSE
2022,04/12/2022,France,Poland,3,1,France,France,FALSE,FALSE,FALSE,FALSE
2022,03/12/2022,Argentina,Australia,2,1,Argentina,Argentina,FALSE,FALSE,FALSE,FALSE
2022,03/12/2022,Netherlands,USA,3,1,Netherlands,Netherlands,FALSE,FALSE,FALSE,FALSE
2022,02/12/2022,Cameroon,Brazil,1,0,Cameroon,Cameroon,FALSE,FALSE,FALSE,FALSE
2022,02/12/2022,Serbia,Switzerland,2,3,Serbia,Switzerland,FALSE,FALSE,FALSE,FALSE
2022,02/12/2022,Ghana,Uruguay,0,2,Ghana,Uruguay,FALSE,FALSE,FALSE,FALSE
2022,02/12/2022,South Korea,Portugal,2,1,South Korea,South Korea,FALSE,FALSE,FALSE,FALSE
2022,01/12/2022,Costa Rica,Germany,2,4,Costa Rica,Germany,FALSE,FALSE,FALSE,FALSE
2022,01/12/2022,Japan,Spain,2,1,Japan,Japan,FALSE,FALSE,FALSE,FALSE
2022,01/12/2022,Canada,Morocco,1,2,Canada,Morocco,FALSE,FALSE,FALSE,FALSE
2022,01/12/2022,Croatia,Belgium,0,0,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,30/11/2022,Poland,Argentina,0,2,Poland,Argentina,FALSE,FALSE,FALSE,FALSE
2022,30/11/2022,Saudi Arabia,Mexico,1,2,Saudi Arabia,Mexico,FALSE,FALSE,FALSE,FALSE
2022,30/11/2022,Australia,Denmark,1,0,Australia,Australia,FALSE,FALSE,FALSE,FALSE
2022,30/11/2022,Tunisia,France,1,0,Tunisia,Tunisia,FALSE,FALSE,FALSE,FALSE
2022,29/11/2022,Iran,USA,0,1,Iran,USA,FALSE,FALSE,FALSE,FALSE
2022,29/11/2022,Wales,England,0,3,Wales,England,FALSE,FALSE,FALSE,FALSE
2022,29/11/2022,Ecuador,Senegal,1,2,Ecuador,Senegal,FALSE,FALSE,FALSE,FALSE
2022,29/11/2022,Netherlands,Qatar,2,0,Netherlands,Netherlands,FALSE,FALSE,FALSE,FALSE
2022,28/11/2022,Portugal,Uruguay,2,0,Portugal,Portugal,FALSE,FALSE,FALSE,FALSE
2022,28/11/2022,Brazil,Switzerland,1,0,Brazil,Brazil,FALSE,FALSE,FALSE,FALSE
2022,28/11/2022,South Korea,Ghana,2,3,South Korea,Ghana,FALSE,FALSE,FALSE,FALSE
2022,28/11/2022,Cameroon,Serbia,3,3,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,27/11/2022,Spain,Germany,1,1,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,27/11/2022,Croatia,Canada,4,1,Croatia,Croatia,FALSE,FALSE,FALSE,FALSE
2022,27/11/2022,Belgium,Morocco,0,2,Belgium,Morocco,FALSE,FALSE,FALSE,FALSE
2022,27/11/2022,Japan,Costa Rica,0,1,Japan,Costa Rica,FALSE,FALSE,FALSE,FALSE
2022,26/11/2022,Argentina,Mexico,2,0,Argentina,Argentina,FALSE,FALSE,FALSE,FALSE
2022,26/11/2022,France,Denmark,2,1,France,France,FALSE,FALSE,FALSE,FALSE
2022,26/11/2022,Poland,Saudi Arabia,2,0,Poland,Poland,FALSE,FALSE,FALSE,FALSE
2022,26/11/2022,Tunisia,Australia,0,1,Tunisia,Australia,FALSE,FALSE,FALSE,FALSE
2022,25/11/2022,England,USA,0,0,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,25/11/2022,Netherlands,Ecuador,1,1,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,25/11/2022,Qatar,Senegal,1,3,Qatar,Senegal,FALSE,FALSE,FALSE,FALSE
2022,25/11/2022,Wales,Iran,0,2,Wales,Iran,FALSE,FALSE,FALSE,FALSE
2022,24/11/2022,Brazil,Serbia,2,0,Brazil,Brazil,FALSE,FALSE,FALSE,FALSE
2022,24/11/2022,Portugal,Ghana,3,2,Portugal,Portugal,FALSE,FALSE,FALSE,FALSE
2022,24/11/2022,Uruguay,South Korea,0,0,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,24/11/2022,Switzerland,Cameroon,1,0,Switzerland,Switzerland,FALSE,FALSE,FALSE,FALSE
2022,23/11/2022,Belgium,Canada,1,0,Belgium,Belgium,FALSE,FALSE,FALSE,FALSE
2022,23/11/2022,Spain,Costa Rica,7,0,Spain,Spain,FALSE,FALSE,FALSE,FALSE
2022,23/11/2022,Germany,Japan,1,2,Germany,Japan,FALSE,FALSE,FALSE,FALSE
2022,23/11/2022,Morocco,Croatia,0,0,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,22/11/2022,France,Australia,4,1,France,France,FALSE,FALSE,FALSE,FALSE
2022,22/11/2022,Mexico,Poland,0,0,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,22/11/2022,Denmark,Tunisia,0,0,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,22/11/2022,Argentina,Saudi Arabia,1,2,Argentina,Saudi Arabia,FALSE,FALSE,FALSE,FALSE
2022,21/11/2022,USA,Wales,1,1,Draw,Draw,FALSE,FALSE,FALSE,FALSE
2022,21/11/2022,Senegal,Netherlands,0,2,Senegal,Netherlands,FALSE,FALSE,FALSE,FALSE
2022,21/11/2022,England,Iran,6,2,England,England,FALSE,FALSE,FALSE,FALSE
2022,20/11/2022,Qatar,Ecuador,0,2,Qatar,Ecuador,FALSE,FALSE,FALSE,FALSE
